,Insulation Thickness,ACH,SHADErad,SHADEtemp,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility,violation,pareto-optimal
57,0.052603691706339974,5.802314649117611,213.36777984403346,22.852200069716535,55234749969.70201,183807206824.52576,5275053934.184327,0,False
58,0.22328176035411357,0.6544380996290511,251.77982180535142,25.020788669339723,54101268419.65201,117442448901.69116,10226550883.839045,0,True
59,0.09948444929570441,3.3910682535849412,136.63767600856323,23.404484142128446,54863388554.08951,152978563686.93106,6170976407.491135,0,False
60,0.33839983640629273,1.8009602020911883,253.73424761317577,26.788557835799615,53403033216.96451,123472558542.28603,8185398031.177078,0,True
61,0.12830169736015137,1.7792368517269543,188.07123277465092,23.540611494192007,54763222631.53951,134851640294.32104,7535576691.802919,0,False
62,0.11720183662244579,2.1421284236612417,219.17216975933422,25.627810563911517,53987584841.46451,139642960905.9901,7342913438.211457,0,False
63,0.34752389795348093,1.9003327159942156,270.8102215928925,26.69193324576087,53461100195.0145,124137688608.75723,8033748819.5862875,0,True
64,0.20013194388479572,2.1861960534864635,171.64017365701687,25.046585906451384,54122320548.81451,132015738545.33507,7348819294.715596,0,False
65,0.20402806324016443,6.044125450263608,105.67755395316001,23.121445667229818,55049747679.25201,156671996757.28253,5352725085.636885,0,True
66,0.2662458417056219,1.0770312844519025,198.2969856021124,22.304973831531544,55721145676.18951,119268444907.63983,8734447181.49805,0,False
67,0.18844796740066272,6.434970550110758,172.18448925156065,23.00526862446222,55086308772.214516,159346559153.58057,5263296331.05736,0,False
68,0.19481845554328553,4.710104316835605,201.3531058095055,23.651941982769358,54689844646.82701,150597867878.18112,5764350293.885024,0,False
69,0.24807628655193537,2.1723294817172754,266.6216168322389,26.606502178607723,53523774228.402,129493552228.91238,7632305436.782209,0,True
70,0.32389461692471,4.43806020368551,284.21161062516717,26.35990085071384,53623239149.61451,143669210052.3286,6150386726.344114,0,True
71,0.09126877097082112,2.174743894534598,252.90265934289084,26.706765732445056,53461538393.31451,144868038794.19843,7370040026.176628,0,False
72,0.326148354596835,0.48590331943773,224.22380782238943,22.600804512999236,55406446971.43951,112476410950.22675,10482131484.546255,0,True
