,Insulation Thickness,ACH,SHADErad,SHADEtemp,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility,violation,pareto-optimal
27,0.20259481868263263,2.423551371147242,207.63439608060423,22.98434906677674,79933520059.90201,144740248109.59634,4341950694.706641,0,False
28,0.1772961204383261,3.6523460434929853,148.31348570078717,24.819408380926227,79294651358.3145,155114428184.036,3769138840.222585,0,False
29,0.3330849372284644,1.511610563570534,100.03095638605794,24.270168476489495,79403570184.73952,132254408242.26907,4917469240.7517605,0,True
30,0.34263660717729416,5.835497192379625,111.00401030966309,25.757233953148592,79095162943.7145,158770953191.80832,3279170117.368642,0,True
31,0.32642476803156056,4.122203794683166,114.92253160199284,25.327726090837107,79209064181.727,151473427214.2198,3599347512.573542,0,True
32,0.03611376734257357,3.7552317527704115,148.04113596565594,22.415674217591086,80344671928.7895,192070121121.02533,4053772836.334331,0,False
33,0.28915063152925086,1.0245256650113332,86.59009769003819,22.200059444908476,80494898241.40201,129132024046.16008,5760451907.115822,0,True
34,0.34137689171471136,2.708039756259764,156.55446583083653,25.17439681973398,79223411060.9145,141949290029.15152,4050474032.6944656,0,True
35,0.19206562577157932,6.309709051766271,111.25891308923812,25.667688706393402,79118550334.4895,166450019610.98828,3268194850.7887344,0,False
36,0.2756907736517281,1.5404562243499524,112.98582882582987,22.799771826270806,80110421346.852,134079829783.40068,5029753565.345091,0,False
37,0.010486294199078641,6.411744082507555,266.44172919876996,22.210575920127656,80371186740.36452,248233164355.10815,3858445479.825621,0,False
38,0.21638017567018683,5.52078962477606,143.37194728223224,24.30243671265726,79397401062.2895,162067923288.14523,3425710771.1084213,0,False
39,0.2625772631159747,2.7097447317809884,103.526027287985,23.883310962886735,79574156770.52701,144207935210.97803,4148411324.780387,0,False
40,0.1191964012799936,3.152518161251204,253.0082318213656,25.728430688192887,79098839161.00201,157958441824.3769,3892581471.2113514,0,False
41,0.07688226568063507,4.539825373912414,167.09445871315035,25.931150835841567,79036568847.25201,175611444813.24448,3583908600.593469,0,False
42,0.23682278081756028,1.7662719949939296,263.32973770623914,24.316734437288442,79368480956.27701,137500417523.6464,4677914102.294088,0,False
43,0.11912542628012453,4.195588921881046,265.6992922181814,24.058122406845495,79442484013.71451,164582152821.27832,3703263001.1047893,0,False
44,0.031232318794084293,1.367644651709462,130.81558902573855,26.270285663598948,78929846633.727,177204093679.82,4980314870.96074,0,False
45,0.28981786670887677,6.324786299489202,295.0777922554943,24.250088114948884,79369479405.58951,161964992720.3857,3303590354.291344,0,False
46,0.3125503297873059,4.974768464471938,182.32169422232656,24.746897601350057,79305789162.51451,156054608015.5559,3466222072.883433,0,True
47,0.055765364147673274,2.2649754479307345,225.4227619788669,23.045051008908818,79900230473.46451,167960063453.34537,4506112662.843083,0,False
48,0.3470950088052217,4.607870878009342,165.51934885478238,23.169403365048122,79865066464.5645,153476262176.19186,3599054895.6816216,0,False
49,0.05874638688384971,5.508090433125809,276.4753390294549,22.437858866734974,80227376235.36452,187268854319.84152,3621373194.8787684,0,False
50,0.2003134058210977,4.578856782313745,205.49734694834638,24.411236956761662,79367811258.96451,158763852927.53827,3575002752.6064157,0,False
51,0.14281934461301507,3.8387792101485507,239.34888208900264,25.471200292013926,79162642074.2895,159416849066.03058,3703623323.211315,0,False
52,0.33454881808907866,3.7367393146078087,216.88669135123817,22.233897165644624,80430942172.63951,149034235199.5642,3835950833.4822874,0,False
53,0.13084065218041604,6.78850324586537,184.0076735693057,25.860716850349522,79049064433.63951,173939688006.79333,3232284699.342555,0,False
54,0.04538105818281714,0.8366565160311876,183.56205221442738,23.263887622077572,79827325103.50201,161072592727.9576,5836824127.138878,0,False
55,0.2629162221270004,1.7295614135319703,82.795144337387,26.722139858214362,78780807229.1895,136170977118.42514,4526108938.716028,0,True
56,0.09550614243752888,5.853236453190174,286.77084860706924,25.288276922344053,79186458640.86452,176770788453.03455,3408129663.258156,0,False
57,0.2948329055427028,6.910791025034379,174.57348878840548,24.97329331732508,79254668751.4395,163727040585.29092,3217774904.146436,0,False
58,0.27366216304161134,0.19983679002724486,239.47965770705062,26.46375304494744,78875266862.38951,122553747703.77542,7243794544.958456,0,True
59,0.2728609984660383,6.981499825865605,279.8367887308824,26.86572260973474,78704455175.6895,164694822480.3051,3057052148.479862,0,True
60,0.19157160877012208,4.577301809411423,268.4926113381539,23.376503636699972,79720097030.80202,159313293030.90594,3619987092.9400783,0,False
61,0.20158339575735673,1.2271873963837534,289.9203147295658,23.664938171999705,79595107042.4145,134550174439.29337,5282747525.187891,0,False
62,0.11526752734840731,0.1690908874914332,265.01433112443465,23.376621035250867,79720097030.80202,133547544919.31691,7417466190.714556,0,False
63,0.12137974989828053,1.8841674718439854,179.07337946655014,26.40758721990399,78886911878.352,147595042151.08276,4457216910.761381,0,False
64,0.1969529498826666,0.683322382586211,219.1101652069196,23.9465815415104,79513831531.4895,130082198075.663,6134383545.427736,0,False
65,0.23622227071071258,5.78428662098632,154.57277771242178,26.727467945370158,78779870248.63951,162091793852.87292,3214962676.616508,0,True
66,0.0129119628287414,2.667199787462395,231.89166996075676,24.907601253086145,79266487739.20201,217565736998.92267,4423101737.367762,0,False
67,0.1596625696464554,3.2157483067807924,196.1922386987501,26.73590388985521,78777898217.2395,153703550406.0039,3752809061.0688367,0,False
68,0.012483790702234017,2.2425332208475925,121.39581392533778,22.673872410515187,80192002005.252,214895689652.6126,4747101279.554425,0,False
69,0.2399380221442406,6.643046394405756,223.2131539973462,25.043981987712755,79240530856.752,164951006106.77765,3254431803.8820834,0,False
70,0.31648970693400447,4.304817312631188,279.45735511281305,25.40230152546993,79171157377.9395,152716107004.15338,3551342625.163278,0,True
71,0.15749765836448812,3.38821344885666,204.82718233766758,26.96421341006326,78672779326.4895,155083435112.81656,3663221613.125865,0,True
72,0.2867931060114933,2.6654610876167926,88.27144325612674,23.34936745182799,79809502327.1145,143052172135.80215,4191159083.718846,0,False
73,0.14007713154569795,1.8051596065556967,100.97248465440637,23.785572558169225,79608428515.377,144563688270.07474,4718256243.446342,0,False
74,0.20267218757953065,6.61771577152064,274.36795264183297,24.280172142256163,79371889015.077,166810195204.27338,3296398175.268162,0,False
75,0.25234227772717027,5.128878421125596,235.633365747861,22.179167464733467,80447959085.7645,158770968041.48438,3541099059.4057374,0,False
